cartelaId,B1,B2,B3,B4,B5,I1,I2,I3,I4,I5,N1,N2,N3,N4,N5,G1,G2,G3,G4,G5,O1,O2,O3,O4,O5
1,6,9,12,3,10,27,19,30,25,24,36,45,,33,38,56,46,50,51,57,70,72,66,68,62
2,2,9,15,7,6,26,27,28,18,22,37,34,,44,39,60,56,48,49,47,66,69,65,73,75
3,2,4,8,11,5,16,22,20,21,23,34,35,,31,39,60,55,59,57,52,74,72,65,71,62
4,12,6,14,10,15,22,27,28,24,30,35,37,,43,45,57,50,60,55,48,70,74,73,66,71
5,8,4,9,13,14,25,29,22,26,17,45,41,,39,42,60,49,46,53,58,62,72,63,61,65
6,2,10,9,15,11,24,25,29,17,26,36,42,,40,35,56,58,55,51,50,74,68,66,75,69
7,8,7,14,9,5,28,22,24,19,20,42,33,,39,43,58,56,47,52,59,70,71,64,75,74
8,15,12,6,9,4,29,25,27,19,22,31,37,,33,43,53,59,58,57,48,65,61,68,70,75
9,7,9,14,3,11,30,24,26,29,19,33,44,,31,41,57,47,60,53,46,65,75,69,66,72
10,4,5,6,2,15,22,20,28,17,26,37,36,,45,44,60,56,55,53,49,64,65,74,66,70
11,12,3,10,13,14,20,21,25,16,19,42,33,,44,40,51,47,57,50,53,65,63,69,64,68
12,13,15,12,14,9,22,29,27,21,18,33,42,,35,36,57,54,60,47,52,64,74,68,69,61
13,15,11,7,6,8,30,16,18,28,21,42,43,,32,45,51,56,48,55,57,74,63,67,61,73
14,1,13,12,10,11,23,17,28,22,26,37,39,,31,36,53,49,60,57,54,70,62,61,68,69
15,1,2,13,5,8,28,17,23,30,29,41,38,,35,39,57,50,58,49,59,68,74,61,63,64
16,4,12,6,15,13,24,16,26,30,28,38,40,,45,41,47,50,48,60,46,66,74,62,70,69
17,15,5,1,2,9,23,29,18,30,17,32,34,,31,38,60,46,56,53,58,75,70,67,73,68
18,13,8,12,9,6,26,30,24,28,16,38,34,,42,37,52,48,50,53,51,69,62,61,68,73
19,10,12,14,11,4,30,19,25,23,16,40,44,,32,39,50,47,52,46,55,74,75,62,68,63
20,8,14,15,10,6,27,25,16,22,23,37,32,,42,45,58,46,48,54,47,75,61,70,68,62
21,15,12,10,1,6,20,26,19,22,29,39,42,,34,37,60,46,58,51,56,74,64,67,69,73
22,9,2,5,15,1,19,22,20,26,17,42,40,,35,31,49,52,46,50,58,68,65,66,73,74
23,6,9,4,15,5,23,18,24,16,25,35,42,,36,38,56,60,47,57,48,74,72,62,64,71
24,4,14,8,3,5,27,29,28,18,22,36,42,,40,43,60,56,57,48,58,72,66,71,63,74
25,2,10,8,5,15,28,19,18,21,16,33,31,,36,32,49,47,57,55,52,70,67,61,64,75
26,10,13,11,9,2,22,20,28,23,30,44,37,,41,39,56,50,58,54,53,61,73,69,72,63
27,5,4,13,9,8,25,20,24,26,21,35,36,,44,40,52,47,58,50,56,68,73,71,61,74
28,4,10,12,14,13,23,18,30,16,24,33,43,,37,38,50,52,59,54,48,74,67,64,68,73
29,15,9,2,6,8,17,22,21,18,26,33,31,,44,40,49,54,53,46,50,66,67,63,72,74
30,9,6,4,13,12,21,30,16,24,25,41,36,,42,31,54,55,51,52,47,63,68,70,66,64
31,3,9,12,11,8,21,29,26,16,23,40,43,,41,32,51,57,50,53,49,72,74,63,68,69
32,1,7,14,9,8,30,17,24,28,18,38,35,,44,32,59,56,50,60,55,68,69,63,62,61
33,8,12,9,3,13,18,19,29,20,28,44,39,,37,38,52,51,47,49,58,65,70,72,61,63
34,9,4,5,7,1,18,19,21,16,20,44,38,,37,39,50,58,46,47,52,65,62,71,73,67
35,10,1,15,14,8,19,23,22,16,17,32,43,,40,39,59,54,48,50,49,73,66,74,62,64
36,3,15,8,2,4,29,25,19,22,18,31,41,,33,43,47,55,54,59,52,65,71,69,74,67
37,12,4,6,2,7,21,26,27,28,16,31,44,,36,42,58,48,50,49,52,65,67,64,62,72
38,8,9,3,6,14,27,22,30,16,20,36,32,,40,44,50,52,53,59,46,64,74,62,61,71
39,13,14,8,1,4,25,23,21,19,24,41,34,,33,35,54,59,48,46,56,63,65,61,70,67
40,4,10,9,1,12,18,20,28,21,25,32,44,,34,41,59,54,49,60,46,61,68,72,66,69
41,7,12,4,1,10,29,17,24,26,27,37,36,,31,43,47,53,49,50,52,73,68,62,70,61
42,1,14,6,15,2,22,24,17,18,30,33,44,,38,32,56,47,54,53,55,73,69,75,68,63
43,5,3,6,9,7,26,24,17,25,27,35,45,,42,31,56,57,52,49,54,66,75,72,69,70
44,15,3,4,9,11,21,25,17,29,27,38,36,,37,32,46,58,52,55,50,75,68,69,66,71
45,10,15,6,9,7,16,30,29,18,17,44,35,,39,41,53,48,56,49,51,73,67,75,71,70
46,15,14,10,7,12,27,23,28,16,17,45,36,,44,40,50,48,55,60,57,62,73,66,64,63
47,15,1,10,9,8,25,22,24,27,26,45,35,,34,32,58,52,46,55,53,63,70,67,71,66
48,10,1,9,11,13,16,24,27,23,22,42,44,,41,31,57,58,53,49,52,71,68,70,73,67
49,15,5,3,8,1,24,25,28,16,22,39,43,,37,42,58,52,48,57,59,75,69,65,66,68
50,1,9,8,13,5,17,27,16,23,29,34,41,,36,31,58,51,46,53,54,64,62,69,63,67
51,13,14,8,10,3,24,26,21,17,30,35,32,,40,43,52,60,46,54,59,67,65,71,72,62
52,13,4,8,9,15,23,20,16,27,29,31,42,,37,41,52,59,56,54,57,69,67,68,65,61
53,6,5,7,8,2,29,22,23,26,28,35,37,,41,39,57,54,53,46,55,62,68,71,73,69
54,3,7,8,11,10,17,30,27,18,19,39,37,,42,43,60,50,48,56,46,69,72,64,66,67
55,15,6,10,3,8,25,21,16,17,24,40,44,,32,31,47,49,53,48,54,68,73,67,63,65
56,6,7,2,10,14,16,17,27,28,20,37,39,,35,34,50,52,48,58,54,71,73,72,68,65
57,11,13,5,7,10,25,22,18,21,30,42,35,,34,41,55,51,56,47,48,67,72,64,61,71
58,2,11,6,14,12,27,17,20,19,16,40,39,,33,35,54,59,58,55,50,64,68,75,70,71
59,9,11,12,2,6,16,19,29,28,20,36,32,,43,31,59,48,53,47,54,61,75,74,73,66
60,13,15,4,8,9,22,30,18,29,25,37,44,,40,33,58,46,47,54,56,74,61,68,62,73
61,4,12,3,9,15,16,18,24,20,21,38,45,,41,44,50,53,46,51,52,63,74,66,65,71
62,14,6,4,13,10,19,22,30,29,18,40,39,,42,32,54,50,47,60,56,74,71,69,66,67
63,14,12,3,7,10,25,30,22,17,28,35,37,,38,31,49,54,55,51,53,68,66,67,63,73
64,12,2,11,10,7,16,27,18,25,29,33,32,,41,31,55,56,46,53,54,62,67,68,70,61
65,3,12,1,4,15,24,27,16,25,23,33,43,,37,32,59,56,50,60,48,75,65,64,73,68
66,5,8,2,14,1,25,30,21,23,29,45,39,,35,37,49,52,55,51,47,74,72,63,69,71
67,1,7,15,9,8,23,29,17,27,28,35,38,,37,44,57,53,55,47,52,70,65,66,74,68
68,1,13,14,12,8,16,17,30,20,25,42,38,,37,41,54,53,52,58,46,64,69,68,71,67
69,14,11,10,7,5,27,20,18,16,19,39,45,,40,37,51,47,49,52,60,69,73,62,71,70
70,2,14,7,15,8,29,27,30,23,21,38,34,,45,44,59,50,48,46,60,73,72,71,74,61
71,2,5,3,8,14,28,27,17,30,20,45,44,,31,32,58,46,50,49,53,64,63,75,65,61
72,14,4,10,2,13,23,25,18,27,22,43,44,,36,37,47,50,60,57,53,74,65,73,75,61
73,7,1,6,10,13,17,16,20,30,27,39,45,,38,40,56,46,50,47,49,67,69,74,62,73
74,3,9,10,2,11,25,28,18,30,19,36,40,,32,39,51,48,46,56,57,63,73,75,62,69
75,1,11,7,2,5,17,30,23,28,26,42,31,,39,45,48,50,46,52,57,64,71,69,66,72
76,5,9,14,12,1,29,26,17,23,27,32,41,,45,34,57,46,48,52,59,66,68,62,63,75
77,14,5,6,13,1,18,16,23,22,26,41,43,,31,39,48,50,51,46,55,68,63,67,66,73
78,1,2,12,13,3,24,29,16,25,19,34,41,,37,39,54,49,60,58,48,70,61,62,65,73
79,7,10,1,15,14,21,20,27,28,16,31,33,,45,39,55,50,59,60,47,71,63,62,68,67
80,12,1,9,5,15,29,26,21,17,25,42,32,,44,39,52,53,49,50,55,62,74,64,67,65
81,2,12,8,10,6,18,24,23,22,26,36,32,,42,41,50,56,52,48,47,69,70,62,71,75
82,2,8,15,3,14,21,18,25,28,26,34,35,,33,41,46,50,56,53,47,70,72,63,73,71
83,10,11,12,6,13,27,18,20,29,19,34,31,,43,42,53,48,50,55,59,67,70,61,73,63
84,13,5,15,10,2,20,29,25,27,26,36,43,,35,33,53,58,49,57,60,72,63,65,68,74
85,13,6,12,2,3,26,16,21,29,18,38,42,,34,35,59,52,55,50,46,61,66,62,70,72
